Title,Title_URL,Image,Date,Price,housing,Keywords,resulthood,Field1,Field2
Bright 1BR basement suite available right now,https://victoria.craigslist.org/apa/d/victoria-bright-1br-basement-suite/7285126199.html,https://images.craigslist.org/00a0a_4HDabeTdgxuz_0cU09G_300x300.jpg,Mar  2,"$1,000","
                    1br -
                ","
                    pic
                    12.3km
                ", (Victoria),1Ba,
Quiet 1 Bedroom Broadmead Suite,https://victoria.craigslist.org/apa/d/saanich-north-quiet-bedroom-broadmead/7278089098.html,https://images.craigslist.org/00v0v_lHmK789JiZaz_0jm0pO_300x300.jpg,Feb 15,"$1,600","
                    1br -
                    600ft2 -
                ","
                    pic
                    12.4km
                ", (Saanich),1Ba,600
Spacious 1 Bedroom suite in Lochside,https://victoria.craigslist.org/apa/d/saanich-north-spacious-bedroom-suite-in/7280755841.html,,Mar 11,$900,"
                    1br -
                ","
                    12.4km
                "," (5150 Lochside Dr, Victoria,)",1Ba,
WANTED: HOUSE FOR APRIL OR MAY 1ST (WILLING TO PAY UP TO $4800 ALL IN),https://victoria.craigslist.org/apa/d/saanich-north-wanted-house-for-april-or/7289775864.html,,Mar 11,"$4,800","
                    3br -
                ","
                    pic
                    12.4km
                ",,2Ba,
Lakehill Villa-1 Bedroom+Den-Available Now,https://victoria.craigslist.org/apa/d/victoria-lakehill-villa-bedroomden/7271547686.html,https://images.craigslist.org/00v0v_4PKaTzhU4Sfz_0jm09G_300x300.jpg,Mar  1,"$1,300","
                    1br -
                    683ft2 -
                ","
                    pic
                    12.4km
                ",,1Ba,683
Lakehill Villa-1 Bedroom-Available April 15th,https://victoria.craigslist.org/apa/d/victoria-lakehill-villa-bedroom/7284867880.html,https://images.craigslist.org/00S0S_gghm0kw3BNzz_0jm09G_300x300.jpg,Mar 11,"$1,600","
                    2br -
                    686ft2 -
                ","
                    pic
                    12.4km
                ",,1Ba,686
Large One-Bedroom Site / Quadra Village Location - Close to Everything,https://victoria.craigslist.org/apa/d/victoria-large-one-bedroom-site-quadra/7272084473.html,https://images.craigslist.org/00h0h_oVWlddPSWuz_0lM0t2_300x300.jpg,Mar  2,"$1,400","
                    1br -
                    680ft2 -
                ","
                    pic
                    12.4km
                ", (Victoria),1Ba,680
Inverness Manor-1 Bedroom-Available Now,https://victoria.craigslist.org/apa/d/victoria-inverness-manor-bedroom/7257860453.html,https://images.craigslist.org/00K0K_gdcefu7Mfiiz_0jm09G_300x300.jpg,Feb  3,"$1,200","
                    1br -
                    595ft2 -
                ","
                    pic
                    12.4km
                ",,1Ba,595
Inverness Manor-1 Bedroom-Available Now,https://victoria.craigslist.org/apa/d/victoria-inverness-manor-bedroom/7272148616.html,https://images.craigslist.org/00J0J_krOBOc0J5etz_0jm09G_300x300.jpg,Mar  1,"$1,250","
                    1br -
                    595ft2 -
                ","
                    pic
                    12.4km
                ",,1Ba,595
One Bedroom Apartment Available Immediately,https://victoria.craigslist.org/apa/d/victoria-one-bedroom-apartment/7288263062.html,https://images.craigslist.org/00E0E_lPJJtDlt46Uz_0pI0CI_300x300.jpg,Mar  8,"$1,200","
                    1br -
                    500ft2 -
                ","
                    pic
                    12.4km
                ", (Rock Bay - Gorge),1Ba,500
One bed condo in the treelane estates!,https://victoria.craigslist.org/apa/d/victoria-one-bed-condo-in-the-treelane/7264184641.html,https://images.craigslist.org/00g0g_6ZsmXTIDSY9z_0lM0t2_300x300.jpg,Feb 16,"$1,495","
                    1br -
                ","
                    pic
                    12.4km
                ",,1Ba,
Cordova Bay 1 bedroom suite,https://victoria.craigslist.org/apa/d/victoria-cordova-bay-bedroom-suite/7285866890.html,,Mar  3,"$2,000","
                    1br -
                ","
                    12.4km
                ", (Saanich),1Ba,
1 BEDROOM: FULLY FURNISHED,https://victoria.craigslist.org/apa/d/central-saanich-bedroom-fully-furnished/7275935529.html,,Mar 10,"$1,250","
                    1br -
                    750ft2 -
                ","
                    12.5km
                ", (VICTORIA),1Ba,750
"Never rent from agencies demanding info ""prior"" to viewing ,!!!",https://victoria.craigslist.org/apa/d/central-saanich-never-rent-from/7280129501.html,,Mar 14,"$2,500","
                    1br -
                    1900ft2 -
                ","
                    12.5km
                ", (Victoria),1Ba,1900
Looking for Family Home,https://victoria.craigslist.org/apa/d/central-saanich-looking-for-family-home/7281219001.html,,Feb 22,"$2,000","
                    3br -
                ","
                    pic
                    12.5km
                ", (Victoria),2Ba,
Wanted: Private Detached Dwelling for Couple,https://victoria.craigslist.org/apa/d/central-saanich-wanted-private-detached/7283467060.html,https://images.craigslist.org/00k0k_8rOMenXF8sOz_0fu0ak_300x300.jpg,Feb 26,"$1,111","
                    1br -
                    888ft2 -
                ","
                    pic
                    12.5km
                ", (Saanich),1Ba,888
Stunning WATER VIEW 1 bd/1ba suite,https://victoria.craigslist.org/apa/d/central-saanich-stunning-water-view-bd/7289046130.html,https://images.craigslist.org/00V0V_1o6tyTDwTGdz_0gw0b1_300x300.jpg,Mar  9,"$2,000","
                    1br -
                    733ft2 -
                ","
                    pic
                    12.5km
                ", (Central Saanich),1Ba,733
2bdrm/2bath Condo,https://victoria.craigslist.org/apa/d/victoria-2bdrm-2bath-condo/7287984245.html,https://images.craigslist.org/00404_d409HZTyzEiz_0gw0aZ_300x300.jpg,Mar  7,"$2,400","
                    2br -
                    800ft2 -
                ","
                    pic
                    12.6km
                ", (Quadra and Uptown),2Ba,800
201-1016 Inverness Rd - Available March 15,https://victoria.craigslist.org/apa/d/victoria-inverness-rd-available-march-15/7288387791.html,https://images.craigslist.org/00m0m_d2mi5tCEbadz_0gw0co_300x300.jpg,Mar 12,"$1,595","
                    1br -
                    545ft2 -
                ","
                    pic
                    12.6km
                ", (Saanich East),1Ba,545
Bright Spacious 4 br saanich house for rent,https://victoria.craigslist.org/apa/d/victoria-bright-spacious-br-saanich/7279265145.html,https://images.craigslist.org/00n0n_hCzlpcW9F9xz_0CI0t2_300x300.jpg,Feb 18,"$3,000","
                    4br -
                ","
                    pic
                    12.6km
                ", (Victoria),1Ba,
One Bedroom Ground Floor Suite In Tanner Ridge,https://victoria.craigslist.org/apa/d/victoria-one-bedroom-ground-floor-suite/7284971110.html,https://images.craigslist.org/00l0l_6wDvCIv4skGz_0pO0hc_300x300.jpg,Mar  1,"$1,450","
                    1br -
                    600ft2 -
                ","
                    pic
                    12.6km
                ", (Central Saanich),1Ba,600
Seaport Apartments-1 Bedroom-Available April 1st,https://victoria.craigslist.org/apa/d/victoria-seaport-apartments-bedroom/7284693983.html,https://images.craigslist.org/00i0i_fSyrjTu6b9rz_0jm09G_300x300.jpg,Mar 11,"$1,450","
                    1br -
                    688ft2 -
                ","
                    pic
                    12.7km
                ",,1Ba,688
Seaport Apartments-Bachelor-Available April 1st,https://victoria.craigslist.org/apa/d/victoria-seaport-apartments-bachelor/7285183523.html,https://images.craigslist.org/00808_btbaeBXhKIMz_0jm09G_300x300.jpg,Mar 11,"$1,200","
                    486ft2 -
                ","
                    pic
                    12.7km
                ",,1Ba,486
Contemporary 3 Level Townhouse,https://victoria.craigslist.org/apa/d/victoria-contemporary-level-townhouse/7278564410.html,https://images.craigslist.org/00E0E_fSS7FF1jHYbz_0lM0t2_300x300.jpg,Feb 16,"$2,500","
                    2br -
                    1026ft2 -
                ","
                    pic
                    12.7km
                ", (James Bay),1.5Ba,1026
Contemporary 3 Level Townhouse,https://victoria.craigslist.org/apa/d/victoria-contemporary-level-townhouse/7286962369.html,https://images.craigslist.org/00E0E_fSS7FF1jHYbz_0lM0t2_300x300.jpg,Mar  5,"$2,500","
                    2br -
                    1026ft2 -
                ","
                    pic
                    12.7km
                ", (James Bay),1.5Ba,1026
"Large Bachelor suite, Great location!",https://victoria.craigslist.org/apa/d/victoria-large-bachelor-suite-great/7287007709.html,https://images.craigslist.org/00U0U_4V2fZl1S39dz_0x20oM_300x300.jpg,Mar  5,"$1,090",,"
                    pic
                    12.7km
                ", (Quadra/Maplewood),1Ba,
Lady Essex,https://victoria.craigslist.org/apa/d/lady-essex/7285758556.html,https://images.craigslist.org/00I0I_cNls6RVYz49z_0pO0hc_300x300.jpg,Mar  3,"$1,595","
                    2br -
                    750ft2 -
                ","
                    pic
                    12.7km
                ", (Victoria),1Ba,750
Market Green-Bachelor-Available April 1st,https://victoria.craigslist.org/apa/d/victoria-market-green-bachelor/7286318778.html,https://images.craigslist.org/00m0m_j2CnqmvuFEKz_0jm09G_300x300.jpg,Mar 11,"$1,025","
                    540ft2 -
                ","
                    pic
                    12.8km
                ",,1Ba,540
"WALK TO TOWN, Quadra Village,  large 1 bedroom",https://victoria.craigslist.org/apa/d/victoria-walk-to-town-quadra-village/7288539893.html,https://images.craigslist.org/00g0g_cho2fl7joR2z_0oa0g8_300x300.jpg,Mar 13,"$1,325","
                    1br -
                    630ft2 -
                ","
                    pic
                    12.8km
                ", (Victoria),1Ba,630
"WALK TO TOWN, Quadra Village,  studio available",https://victoria.craigslist.org/apa/d/victoria-walk-to-town-quadra-village/7288540093.html,https://images.craigslist.org/00g0g_cho2fl7joR2z_0oa0g8_300x300.jpg,Mar 13,"$1,150","
                    480ft2 -
                ","
                    pic
                    12.8km
                ", (Victoria),1Ba,480
Waterside garden patio condo,https://victoria.craigslist.org/apa/d/victoria-waterside-garden-patio-condo/7289194464.html,https://images.craigslist.org/00M0M_fWCy8nLhiLxz_0lM0t2_300x300.jpg,Mar 10,"$1,950","
                    1br -
                    700ft2 -
                ","
                    pic
                    12.8km
                ", (Victoria),1Ba,700
Bright and Spacious 3 Bedroom Upper Level Suite For Rent Available Now,https://victoria.craigslist.org/apa/d/victoria-bright-and-spacious-bedroom/7288953078.html,https://images.craigslist.org/01515_gR6UJhavVtDz_0gs0bJ_300x300.jpg,Mar  9,"$2,600","
                    3br -
                    1600ft2 -
                ","
                    pic
                    12.8km
                ", (Saanich),2Ba,1600
One Bedroom Suite,https://victoria.craigslist.org/apa/d/victoria-one-bedroom-suite/7290978470.html,https://images.craigslist.org/00T0T_PtgzKV8R4Vz_01Q01Q_300x300.jpg,Mar 13,"$1,250","
                    1br -
                    450ft2 -
                ","
                    pic
                    12.8km
                ", (Cook/Cloverdale),1Ba,450
Beautiful one bedroom one bathroom condo Downtown,https://victoria.craigslist.org/apa/d/victoria-beautiful-one-bedroom-one/7286192725.html,https://images.craigslist.org/01515_dEbFsOTPy2zz_0CI0pO_300x300.jpg,Mar 12,"$1,895","
                    1br -
                ","
                    pic
                    12.8km
                ", (Downtown Victoria),1Ba,
2020 Ironworks Building bachelor suite in the heart of downtown.  Acro,https://victoria.craigslist.org/apa/d/victoria-2020-ironworks-building/7288228872.html,https://images.craigslist.org/00202_fLZQsy3Gzcqz_0lM0t2_300x300.jpg,Mar  8,"$1,600","
                    401ft2 -
                ","
                    pic
                    12.8km
                ", (Victoria bc),1Ba,401
Brand New One-Bedroom in Ironworks and Rental Incentive,https://victoria.craigslist.org/apa/d/victoria-brand-new-one-bedroom-in/7285727139.html,https://images.craigslist.org/00o0o_c9sdUQvXnkfz_0t20kY_300x300.jpg,Mar  3,"$1,850","
                    1br -
                    524ft2 -
                ","
                    pic
                    12.8km
                ", (Victoria BC Downtown / China Town),1Ba,524
Brand New Studio Suite at Ironworks (Includes Parking),https://victoria.craigslist.org/apa/d/victoria-brand-new-studio-suite-at/7290614917.html,https://images.craigslist.org/00T0T_hEincYrLrHoz_0CI0t2_300x300.jpg,Mar 12,"$1,550","
                    391ft2 -
                ","
                    pic
                    12.8km
                ", (Victoria),1Ba,391
"Large, bright 1 bed/1bath suite in beautiful Heritage Home",https://victoria.craigslist.org/apa/d/victoria-large-bright-bed-1bath-suite/7291334556.html,https://images.craigslist.org/00O0O_fBpSDPvI0omz_0a005d_300x300.jpg,Mar 14,"$1,550","
                    1br -
                ","
                    pic
                    12.9km
                ", (3010 Quadra Street),1Ba,
456 Pandora Janion Building Bachelor Suite for rent,https://victoria.craigslist.org/apa/d/victoria-456-pandora-janion-building/7274562018.html,https://images.craigslist.org/00F0F_agfNKLdBiBYz_0CI0pO_300x300.jpg,Mar  8,"$1,500","
                    302ft2 -
                ","
                    pic
                    12.9km
                ", (victoria),1Ba,302
Spacious 2 bedroom suite,https://victoria.craigslist.org/apa/d/victoria-spacious-bedroom-suite/7287037444.html,https://images.craigslist.org/01616_CfKr52XTkrz_0CI0t2_300x300.jpg,Mar  9,"$1,650","
                    2br -
                    1150ft2 -
                ","
                    pic
                    12.9km
                ", (Victoria),1Ba,1150
Admiral Inn-Inner Harbor 1 bedroom beautiful balcony view-April 1st,https://victoria.craigslist.org/apa/d/victoria-admiral-inn-inner-harbor/7278537364.html,,Mar  8,"$1,500","
                    1br -
                    475ft2 -
                ","
                    12.9km
                ", (Inner Harbour James Bay),1Ba,475
Beautiful condo in park-like setting,https://victoria.craigslist.org/apa/d/victoria-beautiful-condo-in-park-like/7279397543.html,https://images.craigslist.org/00K0K_gXZuPmhQVFhz_0CI0t2_300x300.jpg,Feb 18,"$1,600","
                    2br -
                    850ft2 -
                ","
                    pic
                    12.9km
                ", (Swan Lake neighborhood),1Ba,850
Brand New 1 Bedroom Condo,https://victoria.craigslist.org/apa/d/victoria-brand-new-bedroom-condo/7279232999.html,https://images.craigslist.org/00606_52OZt0GBKFoz_0q80hq_300x300.jpg,Mar 11,"$1,750","
                    1br -
                ","
                    pic
                    12.9km
                ",,1Ba,
Furnished - 1 bdrm-The Union Building -Pet friendly,https://victoria.craigslist.org/apa/d/victoria-furnished-bdrm-the-union/7279218185.html,https://images.craigslist.org/00l0l_9cUhhlXwbvcz_09G06s_300x300.jpg,Feb 18,"$2,500","
                    1br -
                    564ft2 -
                ","
                    pic
                    12.9km
                ", (DT Victoria),1Ba,564
#302 - 1234 Wharf Street,https://victoria.craigslist.org/apa/d/victoria-wharf-street/7281919204.html,https://images.craigslist.org/00000_jGDpyA4d5DGz_0uY0k0_300x300.jpg,Mar  8,"$3,450","
                    2br -
                    1240ft2 -
                ","
                    pic
                    12.9km
                ", (Victoria),2Ba,1240
Bachelor Loft to Rent Sept to Apr $1600 incl.,https://victoria.craigslist.org/apa/d/victoria-bachelor-loft-to-rent-sept-to/7287243368.html,https://images.craigslist.org/00B0B_1NPwYVVKpPdz_08g05t_300x300.jpg,Mar  6,"$1,600","
                    250ft2 -
                ","
                    pic
                    12.9km
                ", (Victoria),1Ba,250
New Build,https://victoria.craigslist.org/apa/d/victoria-new-build/7288538519.html,https://images.craigslist.org/00I0I_6UgHN2oPoJmz_09G05r_300x300.jpg,Mar 11,"$1,550","
                    1br -
                    401ft2 -
                ","
                    pic
                    12.9km
                ", (Victoria),1Ba,401
2 bed available April 1,https://victoria.craigslist.org/apa/d/bed-available-april/7288198893.html,,Mar 10,"$1,695","
                    2br -
                ","
                    12.9km
                ", (Fernwood-1150 Queens ave),1Ba,
1 and 2 Bedroom Units at Marifield Park,https://victoria.craigslist.org/apa/d/victoria-and-bedroom-units-at-marifield/7262593876.html,https://images.craigslist.org/00C0C_i9ZTG4p346zz_0kE0dL_300x300.jpg,Feb 12,"$1,350","
                    1br -
                    700ft2 -
                ","
                    pic
                    13km
                ", (James Bay),1Ba,700
689 Bay Street - Top Floor Condo,https://victoria.craigslist.org/apa/d/victoria-689-bay-street-top-floor-condo/7281690623.html,https://images.craigslist.org/00404_e6HNsy7M9RGz_0t20CI_300x300.jpg,Mar 11,"$1,850","
                    2br -
                ","
                    pic
                    13km
                ", (Downtown),2Ba,
"Beautiful Ocean/Harbour Views, Townhome Style Suite in James Bay",https://victoria.craigslist.org/apa/d/victoria-beautiful-ocean-harbour-views/7264725346.html,https://images.craigslist.org/00G0G_fQ0YiQYmnr6z_0CI0pP_300x300.jpg,Feb 16,"$3,495","
                    2br -
                    1286ft2 -
                ","
                    pic
                    13km
                ",,2Ba,1286
Lease takeover for beautiful studio,https://victoria.craigslist.org/apa/d/victoria-lease-takeover-for-beautiful/7285406304.html,https://images.craigslist.org/00K0K_ifvkef5ADsYz_0x20oM_300x300.jpg,Mar  4,"$1,540","
                    325ft2 -
                ","
                    pic
                    13km
                ", (James Bay),1Ba,325
Studio Suite with Harbour View,https://victoria.craigslist.org/apa/d/victoria-studio-suite-with-harbour-view/7287410600.html,https://images.craigslist.org/00B0B_7ouJrp9Ijfnz_0CI0t2_300x300.jpg,Mar 13,"$1,695","
                    364ft2 -
                ","
                    pic
                    13km
                ",,1Ba,364
1 Bedroom Suite with Beautiful Inner Harbour View (Pet Friendly),https://victoria.craigslist.org/apa/d/victoria-bedroom-suite-with-beautiful/7290322682.html,https://images.craigslist.org/00909_gGucQgsJPUOz_0iA0co_300x300.jpg,Mar 12,"$2,195","
                    1br -
                    599ft2 -
                ","
                    pic
                    13km
                ",,1Ba,599
One bedroom with view on acres available April 1st 1st,https://victoria.craigslist.org/apa/d/victoria-one-bedroom-with-view-on-acres/7290575334.html,,Mar 12,"$1,395","
                    1br -
                    1000ft2 -
                ","
                    13km
                ", (Tanner Area),1Ba,1000
Executive Furnished Waterfront Pet Friendly!,https://victoria.craigslist.org/apa/d/victoria-executive-furnished-waterfront/7278945251.html,https://images.craigslist.org/00T0T_hcz4jL9WcCwz_0fU099_300x300.jpg,Feb 17,"$2,000","
                    1br -
                    450ft2 -
                ","
                    pic
                    13.1km
                ", (Downtown Victoria),1Ba,450
